"","SampleID","contig_length_avg","gene_count_avg","num_VCs","num_vOTUs","num_seqs","provirus_num","Complete","High-quality","Low-quality","Medium-quality","Not-determined","AreaSample","Site.name...8","Year of collection","Rocks_v2","Latitude","Longitude"
"24","FICUS_Selbmann_34",9303.16628701595,10.8542141230068,211,434,439,14,0,0,103,3,333,"Dry Valleys","Mt. Elektra",2018,"Sandstone",-77.492,160.907
"25","FICUS_Selbmann_35",9353.79038461538,10.8980769230769,247,517,520,23,0,1,142,4,373,"Dry Valleys","Mt. Elektra",2018,"Sandstone",-77.492,160.907
"26","FICUS_Selbmann_37",9428.10204081633,11.6233766233766,282,534,539,15,1,1,152,9,376,"Northen Victoria Land","Mt. New Zealand",2015,"Sandstone",-74.179,162.515
"27","FICUS_Selbmann_38",9691.51033057851,11.9752066115702,239,472,484,19,0,1,145,12,326,"Northen Victoria Land","Mt. New Zealand",2015,"Sandstone",-74.179,162.515
"28","FICUS_Selbmann_4",9894.39890710382,11.6912568306011,205,350,366,11,0,2,102,4,258,"Dry Valleys","Linnaeus Terrace",2018,"Sandstone",-77.598,161.007
"29","FICUS_Selbmann_40",9477.21186440678,10.6949152542373,81,117,118,1,0,1,28,0,89,"Northen Victoria Land","Mt. New Zealand",2015,"Sandstone",-74.179,162.515
"30","FICUS_Selbmann_41",9553.49894291755,11.7653276955603,250,470,473,18,0,0,126,8,339,"Northen Victoria Land","Mt. New Zealand",2015,"Sandstone",-74.179,162.515
"31","FICUS_Selbmann_42",10022.1709401709,12.2051282051282,67,115,117,1,0,0,36,1,80,"Northen Victoria Land","Mt. New Zealand",2015,"Sandstone",-74.179,162.515
"32","FICUS_Selbmann_44",12562.752688172,15.505376344086,100,185,186,20,0,1,72,10,103,"Northen Victoria Land","Trio Nunatak",2015,"Sandstone",-75.482,159.591
"33","FICUS_Selbmann_45",13320.4027777778,14.9861111111111,69,144,144,11,1,1,49,5,88,"Northen Victoria Land","Trio Nunatak",2015,"Sandstone",-75.482,159.591
"34","FICUS_Selbmann_47",12345.6059701493,15.2567164179104,165,334,335,12,0,3,96,9,227,"Northen Victoria Land","Trio Nunatak",2015,"Sandstone",-75.482,159.591
"35","FICUS_Selbmann_48",9588.69421487603,11.7520661157025,127,240,242,14,0,0,63,1,178,"Northen Victoria Land","Trio Nunatak",2015,"Sandstone",-75.482,159.591
"36","FICUS_Selbmann_49",9542.64331210191,11.0148619957537,278,468,471,28,0,3,141,7,320,"Northen Victoria Land","Trio Nunatak",2015,"Sandstone",-75.482,159.591
"37","FICUS_Selbmann_5",8486.40589569161,9.64399092970521,234,430,441,16,0,0,114,0,327,"Dry Valleys","Linnaeus Terrace",2018,"Sandstone",-77.598,161.007
"38","FICUS_Selbmann_51",9620.12987012987,11.9448051948052,177,306,308,11,0,0,74,3,231,"Northen Victoria Land","Trio Nunatak",2015,"Sandstone",-75.482,159.591
"39","FICUS_Selbmann_52",10962.0753424658,12.8869863013699,161,292,292,23,1,1,103,6,181,"Northen Victoria Land","Trio Nunatak",2015,"Sandstone",-75.482,159.591
"40","FICUS_Selbmann_53",9461.11695906433,11.4093567251462,105,165,171,7,0,4,52,2,113,"Northen Victoria Land","Unnamed Nunatak",2015,"Sandstone",-75.662,158.876
"41","FICUS_Selbmann_54",9592.98907103825,11.879781420765,115,179,183,7,0,4,58,2,119,"Northen Victoria Land","Unnamed Nunatak",2015,"Sandstone",-75.662,158.876
"42","FICUS_Selbmann_56",13042.2191780822,15.9178082191781,40,71,73,5,0,0,26,2,45,"Northen Victoria Land","Unnamed Nunatak",2015,"Sandstone",-75.662,158.876
"43","FICUS_Selbmann_57",10992.2916666667,12.375,39,70,72,6,0,0,30,3,39,"Northen Victoria Land","Unnamed Nunatak",2015,"Sandstone",-75.662,158.876
"44","FICUS_Selbmann_58",9379.17567567567,11.0675675675676,50,72,74,6,0,0,20,1,53,"Northen Victoria Land","Unnamed Nunatak",2015,"Sandstone",-75.662,158.876
"45","FICUS_Selbmann_59",11032.2168674699,12.8626506024096,207,403,415,19,0,2,149,7,257,"Northen Victoria Land","Pudding Butte",2015,"Sandstone",-75.858,159.974
"46","FICUS_Selbmann_6",10369.1764705882,12.1122994652406,234,361,374,16,0,1,92,9,272,"Dry Valleys","Linnaeus Terrace",2018,"Sandstone",-77.598,161.007
"47","FICUS_Selbmann_60",10956.6432038835,12.6019417475728,207,398,412,23,0,1,158,9,244,"Northen Victoria Land","Pudding Butte",2015,"Sandstone",-75.858,159.974
"48","FICUS_Selbmann_61",11957.578125,14,244,445,448,26,0,1,158,15,274,"Northen Victoria Land","Pudding Butte",2015,"Sandstone",-75.858,159.974
"49","FICUS_Selbmann_62",11785.0018761726,14.0975609756098,282,530,533,30,0,4,194,7,328,"Northen Victoria Land","Pudding Butte",2015,"Sandstone",-75.858,159.974
"50","FICUS_Selbmann_63",10868.756097561,13.5871080139373,290,568,574,30,0,5,208,7,354,"Northen Victoria Land","Pudding Butte",2015,"Sandstone",-75.858,159.974
"51","FICUS_Selbmann_64",10892.5837104072,13.027149321267,116,219,221,10,0,0,72,3,146,"Northen Victoria Land","Pudding Butte",2015,"Sandstone",-75.858,159.974
"52","FICUS_Selbmann_65",11672.7478005865,14.4985337243402,172,336,341,24,0,0,146,7,188,"Northen Victoria Land","Pudding Butte",2015,"Sandstone",-75.858,159.974
"53","FICUS_Selbmann_66",10299.7718446602,13.2038834951456,136,204,206,6,0,1,42,3,160,"Northen Victoria Land","Pudding Butte",2015,"Sandstone",-75.858,159.974
"54","FICUS_Selbmann_67",9390.40759930915,11.0967184801382,284,573,579,14,0,0,162,5,412,"Dry Valleys","Linnaeus Terrace",2018,"Sandstone",-77.598,161.007
"55","FICUS_Selbmann_68",8938.15175097276,10.7898832684825,228,512,514,25,0,0,141,7,366,"Dry Valleys","Linnaeus Terrace",2018,"Sandstone",-77.598,161.007
"56","FICUS_Selbmann_7",10370.7931034483,11.544061302682,163,259,261,9,0,2,64,2,193,"Dry Valleys","Linnaeus Terrace",2015,"Sandstone",-77.6,161.083
"57","FICUS_Selbmann_70",8900.23076923077,10.0384615384615,238,481,494,22,1,0,139,3,351,"Dry Valleys","Linnaeus Terrace",2018,"Sandstone",-77.598,161.007
"58","FICUS_Selbmann_71",9221.55274261603,10.5668073136428,361,697,711,22,0,1,196,7,507,"Dry Valleys","Linnaeus Terrace",2018,"Sandstone",-77.598,161.007
"59","FICUS_Selbmann_72",8903.97658862876,10.3846153846154,306,588,598,20,0,0,166,6,426,"Dry Valleys","Linnaeus Terrace",2018,"Sandstone",-77.598,161.007
"60","FICUS_Selbmann_73",8687.85106382979,11.6595744680851,88,139,141,3,0,0,41,2,98,"Dry Valleys","Linnaeus Terrace",2018,"Sandstone",-77.598,161.007
"61","FICUS_Selbmann_74",11250.5910290237,14.1873350923483,236,376,379,21,0,2,128,8,241,"Dry Valleys","Battleship Promontory",2004,"Sandstone",-76.91,160.935
"62","FICUS_Selbmann_76",8743.51558752998,10.4856115107914,429,820,834,22,0,0,248,7,579,"Dry Valleys","Battleship Promontory",2010,"Sandstone",-76.91,160.935
"63","FICUS_Selbmann_77",9540.07236842105,12.3717105263158,183,301,304,11,0,0,90,1,213,"Dry Valleys","Battleship Promontory",2004,"Sandstone",-76.91,160.935
"64","FICUS_Selbmann_78",17349.8205689278,20.2844638949672,101,457,457,84,8,12,208,28,201,"Dry Valleys","Battleship Promontory",2004,"Sandstone",-76.91,160.935
"65","FICUS_Selbmann_79",10949.4181818182,14.1636363636364,157,275,275,14,1,2,112,7,153,"Dry Valleys","Linnaeus Terrace",2004,"Sandstone",-77.598,161.007
"66","FICUS_Selbmann_8",11112.9562043796,13.4160583941606,81,133,137,5,0,0,45,3,89,"Dry Valleys","Linnaeus Terrace",2015,"Sandstone",-77.6,161.083
"67","FICUS_Selbmann_80",9521.61927330174,11.4170616113744,317,628,633,27,0,0,205,5,423,"Dry Valleys","Linnaeus Terrace",2004,"Sandstone",-77.598,161.007
"68","FICUS_Selbmann_82",10173.1232876712,13.041095890411,42,73,73,4,0,0,34,2,37,"Dry Valleys","Linnaeus Terrace",2004,"Sandstone",-77.598,161.007
"69","FICUS_Selbmann_84",9328.92173913044,11.2347826086957,77,113,115,0,1,2,28,0,84,"Dry Valleys","University Valley",2004,"Sandstone",-77.875,160.739
"70","FICUS_Selbmann_85",9406.19931271478,11.7903780068729,186,288,291,7,0,2,71,3,215,"Dry Valleys","University Valley",2004,"Sandstone",-77.875,160.739
"71","FICUS_Selbmann_87",9722.21951219512,12.2926829268293,96,163,164,6,0,0,59,3,102,"Dry Valleys","University Valley",2004,"Sandstone",-77.875,160.739
"72","FICUS_Selbmann_88",9086.78242074928,11.0158501440922,372,677,694,24,0,1,234,9,450,"Dry Valleys","Battleship Promontory",2010,"Sandstone",-76.91,160.935
"73","FICUS_Selbmann_89",10802.9260628466,12.445471349353,295,532,541,23,0,2,167,6,366,"Dry Valleys","Battleship Promontory",2010,"Sandstone",-76.91,160.935
"74","FICUS_Selbmann_9",10967.836858006,13.7099697885196,195,329,331,11,0,1,93,6,231,"Dry Valleys","Linnaeus Terrace",2015,"Sandstone",-77.6,161.083
"75","FICUS_Selbmann_91",10145.5082352941,12.6635294117647,252,420,425,20,1,1,139,7,277,"Dry Valleys","Battleship Promontory",2010,"Sandstone",-76.91,160.935
"76","FICUS_Selbmann_92",9136.53544776119,11.4347014925373,306,528,536,14,0,1,166,6,363,"Dry Valleys","Battleship Promontory",2010,"Sandstone",-76.91,160.935
"77","FICUS_Selbmann_93",9697.08798283262,11.6673819742489,286,462,466,15,1,1,142,7,315,"Dry Valleys","Battleship Promontory",2010,"Sandstone",-76.91,160.935
"78","FICUS_Selbmann_94",10046.5174216028,12.1829268292683,345,566,574,32,0,1,203,5,365,"Dry Valleys","Battleship Promontory",2010,"Sandstone",-76.91,160.935
"79","FICUS_Selbmann_95",11142.487012987,14.3441558441558,210,307,308,12,0,4,105,6,193,"Dry Valleys","Battleship Promontory",2010,"Sandstone",-76.91,160.935
"80","FICUS_Selbmann_96",10311.8614718615,12.2510822510823,124,225,231,9,0,1,83,4,143,"Dry Valleys","Battleship Promontory",2010,"Sandstone",-76.91,160.935
"81","FingerMtnordMG_2",9819.89541832669,11.3735059760956,453,991,1004,42,1,2,306,11,684,"Dry Valleys","Finger Mt.",2015,"Sandstone",-77.911,161.577
"82","FingerMtsudMG_2",9201.51904761905,11.225,489,829,840,30,0,1,252,9,578,"Dry Valleys","Finger Mt.",2015,"Sandstone",-77.755,160.745
"83","KnobheadnordMG_2",9259.40350877193,11.1531100478469,342,616,627,27,0,3,200,7,417,"Dry Valleys","Knobhead",2015,"Sandstone",-77.91,161.579
"84","KnobheadsudMG_2",9578.34277198212,11.4798807749627,377,660,671,26,0,4,194,5,468,"Dry Valleys","Knobhead",2015,"Sandstone",-77.911,161.577
"85","LinTernordMG_2",10758.6210526316,13.7347368421053,297,469,475,18,0,2,149,6,318,"Dry Valleys","Linnaeus Terrace",2015,"Sandstone",-77.6,161.083
"86","Mars-1",10151.7707006369,12.4416135881104,468,935,942,52,1,3,348,17,573,"Northen Victoria Land","Mt. Bowen",2010,"Sandstone",-75.75,161.08333
"87","Mars-10",9219.83318777293,11.0200873362445,562,1132,1145,40,0,1,360,14,770,"Dry Valleys","Finger Mt.",2015,"Sandstone",-77.75025,160.74569
"88","Mars-11",9540.28363047002,11.3006482982172,633,1220,1234,48,0,0,371,18,845,"Dry Valleys","Finger Mt.",2015,"Sandstone",-77.75026,160.74589
"89","Mars-12",10617.9427480916,13.0699745547074,445,781,786,31,1,1,247,13,524,"Dry Valleys","Finger Mt.",2015,"Sandstone",-77.75027,160.74586
"90","Mars-13",9592.50743931088,11.1714956930305,582,1268,1277,49,1,4,379,18,875,"Dry Valleys","Finger Mt.",2015,"Sandstone",-77.75025,160.74553
"91","Mars-14",10498.0779510022,11.28285077951,218,432,449,11,0,2,140,6,301,"Dry Valleys","Finger Mt.",2015,"Sandstone",-77.75281,160.74444
"92","Mars-15",9636.77961783439,11.7898089171975,408,777,785,35,1,1,244,9,530,"Dry Valleys","Finger Mt.",2015,"Sandstone",-77.75281,160.74586
"93","Mars-16",9878.48186946011,11.4464141821112,585,1230,1241,34,0,1,360,7,873,"Dry Valleys","Finger Mt.",2015,"Sandstone",-77.75281,160.74422
"94","Mars-17",9783.43035542747,12.1171950048031,529,1025,1041,36,1,3,377,18,642,"Dry Valleys","Finger Mt.",2015,"Sandstone",-77.75286,160.74453
"95","Mars-18",9332.39963833635,11.2432188065099,544,1101,1106,26,0,1,327,17,761,"Dry Valleys","Finger Mt.",2015,"Sandstone",-77.75278,160.74422
"96","Mars-19",10083.8712871287,11.8564356435644,211,387,404,12,0,1,117,1,285,"Northen Victoria Land","Schultz Peak",2015,"Sandstone",-76.01558,160.8934
"97","Mars-2",9236.35948644793,10.8038516405136,713,1399,1402,54,0,5,433,13,951,"Northen Victoria Land","Archambault Ridge",2010,"Granite",-74.74069,162.67567
"98","Mars-20",11268.7118644068,13.8587570621469,286,527,531,27,1,6,183,9,332,"Northen Victoria Land","Schultz Peak",2015,"Sandstone",-76.01558,160.8934
"99","Mars-21b",0,0,0,0,0,0,0,0,0,0,0,"Northen Victoria Land","Timber Peak",2018,"Sandstone",-74.17203,162.42919
"100","Mars-22",0,0,0,0,0,0,0,0,0,0,0,"Northen Victoria Land","Timber Peak",2018,"Sandstone",-74.17203,162.42919
"101","Mars-23",10188.1986531987,12.0022446689113,460,882,891,49,0,6,277,18,590,"Northen Victoria Land","Helliwell Hills",2015,"Sandstone",-71.79353,161.995717
"102","Mars-24",9956.72775564409,11.33598937583,362,717,753,30,0,9,255,4,485,"Northen Victoria Land","Helliwell Hills",2015,"Sandstone",-71.73167,161.375667
"103","Mars-25",10859.092760181,12.7941176470588,230,433,442,25,0,0,171,6,265,"Northen Victoria Land","Helliwell Hills",2015,"Sandstone",-71.72968,161.3879
"104","Mars-26",10347.3308480895,12.4557315936626,451,1070,1073,59,0,2,389,15,667,"Northen Victoria Land","Helliwell Hills",2015,"Sandstone",-71.72968,161.3879
"105","Mars-27b",10468.5630630631,13.2162162162162,241,442,444,21,0,1,164,11,268,"Northen Victoria Land","Helliwell Hills",2015,"Sandstone",-71.72968,161.3879
"106","Mars-28",10009.9207920792,12.0525514089871,547,1312,1313,80,1,3,450,33,826,"Northen Victoria Land","Mt. Keinath",2010,"Granite",-74.5505,164.06547
"107","Mars-29",10946.1898395722,12.8770053475936,217,373,374,30,0,4,129,8,233,"Northen Victoria Land","Mt. Dickason",2010,"Granite",-74.39958,164.00597
"108","Mars-3",9059.86256323777,10.1703204047218,511,1185,1186,52,0,2,331,10,843,"Northen Victoria Land","Archambault Ridge",2010,"Sandstone",-73.66942,162.59369
"109","Mars-30",10288.9351351351,12.2635135135135,385,736,740,36,3,4,240,9,484,"Northen Victoria Land","Mt. Dickason",2010,"Granite",-74.39958,164.00597
"110","Mars-31",8788.56647398844,9.75491329479769,281,865,865,26,0,2,265,7,591,"Northen Victoria Land","Mt. Burrow",2010,"Granite",-73.66667,163.66667
"111","Mars-32",0,0,0,0,0,0,0,0,0,0,0,"Northen Victoria Land","Random Hills",2010,"Granite",-74.01,164.36667
"112","Mars-33",9845.2064112588,11.8631743549648,415,1277,1279,66,2,3,497,15,762,"Northen Victoria Land","Random Hills",2010,"Granite",-74.01,164.36667
"113","Mars-34",9968.25090470446,12.0144752714113,428,826,829,47,2,2,278,13,534,"Northen Victoria Land","Random Hills",2010,"Granite",-74.01,164.36667
"114","Mars-35",11567.6511111111,12.48,181,450,450,24,0,0,155,7,288,"Northen Victoria Land","Mt. McGee",2010,"Granite",-75.666667,161.26667
"115","Mars-36",9175.61001788909,10.7924865831843,220,559,559,31,0,1,172,9,377,"Northen Victoria Land","Mt. McGee",2010,"Granite",-75.666667,161.26667
"116","Mars-37b",9372.90951122853,11.0858652575958,542,1511,1514,71,1,4,484,25,1000,"Northen Victoria Land","Harrow Peak",2010,"Granite",-75.666667,161.26667
"117","Mars-38",10901.9806949807,13.0608108108108,413,1023,1036,73,1,1,409,25,600,"Northen Victoria Land","Starr Nunatak",2004,"Granite",-75.89853,162.59289
"118","Mars-39",9757.31599479844,11.036410923277,348,763,769,44,0,3,255,12,499,"Northen Victoria Land","Starr Nunatak",2004,"Granite",-75.89853,162.59289
"119","Mars-40",12123.3242320819,14.4982935153584,119,293,293,29,0,3,95,10,185,"Northen Victoria Land","Starr Nunatak",2004,"Granite",-75.89853,162.59289
"120","Mars-41",9712.92143467122,11.0409906063194,463,1170,1171,51,0,2,359,21,789,"Northen Victoria Land","Starr Nunatak",2004,"Granite",-75.89853,162.59289
"121","Mars-42",10131.5915841584,11.6262376237624,335,801,808,65,0,1,286,20,501,"Northen Victoria Land","Starr Nunatak",2004,"Granite",-75.89853,162.59289
"122","Mars-43",9905.40026075619,11.6584093872229,269,764,767,39,2,3,273,13,476,"Northen Victoria Land","Kay Island",2010,"Quartz",-74.07042,165.31667
"123","Mars-44",9286.95627802691,11.2544843049327,346,891,892,49,0,0,327,11,554,"Northen Victoria Land","Kay Island",2010,"Quartz",-74.07039,165.31614
"124","Mars-45",10535.380952381,12.8964803312629,519,1446,1449,88,3,7,542,20,877,"Northen Victoria Land","Kay Island",2010,"Quartz",-74.0705,165.316
"125","Mars-46",11720.3659793814,13.9871134020619,320,772,776,67,2,2,337,22,413,"Northen Victoria Land","Inexpressible Island",2010,"Sandstone",-74.88931,163.7455
"126","Mars-47",10244.6933701657,12.9226519337017,148,362,362,12,0,1,146,12,203,"Northen Victoria Land","Inexpressible Island",2010,"Granite",-74.88931,163.7455
"127","Mars-48",10519.8043478261,12.643115942029,205,546,552,31,0,2,206,14,330,"Northen Victoria Land","Inexpressible Island",2010,"Granite",-74.88931,163.7455
"128","Mars-49",9782.49810606061,11.9753787878788,394,1043,1056,60,1,1,470,20,564,"Northen Victoria Land","Inexpressible Island",2010,"Granite",-74.88931,163.7455
"129","Mars-4b",9274.5,11.2577319587629,113,194,194,1,0,8,39,0,147,"Northen Victoria Land","Finger Mt.",2010,"Sandstone",-75.69142,160.43256
"130","Mars-5",0,0,0,0,0,0,0,0,0,0,0,"Northen Victoria Land","Ricker Hills",2015,"Sandstone",-75.70406,159.22761
"131","Mars-50b",12963.0340909091,15.75,35,88,88,4,0,1,28,3,56,"Northen Victoria Land","Inexpressible Island",2010,"Granite",-74.88931,163.7455
"132","Mars-51b",11226.7869318182,12.8011363636364,119,349,352,22,0,2,129,9,212,"Northen Victoria Land","Inexpressible Island",2010,"Granite",-74.88931,163.7455
"133","Mars-52",10104.0209205021,12.6610878661088,237,470,478,11,0,6,168,7,297,"Northen Victoria Land","Mt. Larsen",2010,"Granite",-74.88439,162.16611
"134","Mars-53",9463.21651090343,12.4299065420561,310,639,642,17,1,2,268,7,364,"Northen Victoria Land","Mt. Larsen",2010,"Granite",-74.88439,162.16611
"135","Mars-54",10516.6981707317,12.4908536585366,316,655,656,44,0,3,252,9,392,"Northen Victoria Land","Mt. Nansen",2010,"Granite",-74.53639,162.56528
"136","Mars-55",9095.22754491018,11.0209580838323,195,333,334,11,0,0,93,3,238,"Northen Victoria Land","Mt. Nansen",2010,"Granite",-74.56778,162.24361
"137","Mars-56",11175.2155797101,14.0018115942029,258,552,552,38,0,0,207,18,327,"Northen Victoria Land","Mt. Nansen",2010,"Granite",-74.62861,162.59389
"138","Mars-57b",10056.0806174957,12.122641509434,482,1160,1166,93,0,2,430,23,711,"Northen Victoria Land","Vegetation Island",2004,"Granite",-74.78417,163.65972
"139","Mars-58",11029.6358183376,12.9117395029991,428,1163,1167,96,1,5,419,31,711,"Northen Victoria Land","Vegetation Island",2004,"Granite",-74.78417,163.65972
"140","Mars-59",8943.07202993452,10.8334892422825,425,1063,1069,36,0,1,368,10,690,"Northen Victoria Land","Vegetation Island",2010,"Granite",-74.78417,163.65972
"141","Mars-6",9764.89817232376,12.1906005221932,230,378,383,10,0,0,145,5,233,"Northen Victoria Land","Ricker Hills",2015,"Sandstone",-75.70406,159.22761
"142","Mars-60b",11248.9090909091,14.2641509433962,276,581,583,25,1,1,225,7,349,"Northen Victoria Land","Mt. Burrow",2010,"Granite",-73.66667,163.66667
"143","Mars-61",10243.8262967431,11.5392038600724,387,827,829,36,0,1,245,14,569,"Northen Victoria Land","Widowmaker Pass",2010,"Granite",-74.93278,162.40444
"144","Mars-62",8908.23936170213,10.3723404255319,117,186,188,5,0,3,48,0,137,"Northen Victoria Land","Widowmaker Pass",2010,"Granite",-74.93278,162.40444
"145","Mars-63",10510.1840148699,11.7769516728625,263,534,538,34,0,0,205,6,327,"Northen Victoria Land","Widowmaker Pass",2010,"Granite",-74.93278,162.40444
"146","Mars-64",10541.0322580645,12.3161290322581,480,929,930,36,1,7,271,10,641,"Northen Victoria Land","Widowmaker Pass",2010,"Granite",-74.93278,162.40444
"147","Mars-65",10917.749235474,12.474006116208,143,322,327,19,1,2,116,4,204,"Northen Victoria Land","Crater Circle",2010,"Granite",-72.60333,169.34883
"148","Mars-66",10915.8758099352,13.1479481641469,330,926,926,62,1,1,364,30,530,"Northen Victoria Land","Mt. Billing",2010,"Basalt/Dolerite",-75.703333,160.908
"149","Mars-67b",9783.1170212766,12.8324468085106,301,749,752,32,1,4,326,12,409,"Northen Victoria Land","Mt. Billing",2010,"Sandstone",-75.70525,160.91389
"150","Mars-68",11030.5829145729,13.3266331658291,119,199,199,4,0,7,46,3,143,"Northen Victoria Land","Mt. Billing",2010,"Sandstone",-75.70525,160.91389
"151","Mars-69",10056.7741935484,12.4838709677419,165,278,279,15,0,2,80,4,193,"Northen Victoria Land","Mt. Billing",2010,"Sandstone",-75.70525,160.91389
"152","Mars-7",9598.53639846743,11.727969348659,170,257,261,13,0,5,80,2,174,"Northen Victoria Land","Ricker Hills",2015,"Sandstone",-75.70406,159.22761
"153","Mars-70",10236.2709677419,12.3677419354839,380,1085,1085,69,0,2,399,21,663,"Northen Victoria Land","Mt. Billing",2010,"Sandstone",-75.70525,160.91389
"154","Mars-71",11940.0612244898,14.3498542274052,195,340,343,21,0,5,106,4,228,"Northen Victoria Land","Mt. Billing",2010,"Sandstone",-75.70525,160.91389
"155","Mars-72",9217.49132947977,11.2196531791908,98,172,173,9,0,2,54,1,116,"Northen Victoria Land","Mt. Billing",2010,"Sandstone",-75.70525,160.91389
"156","Mars-73",11302.1476683938,13.8316062176166,123,385,386,16,0,2,149,6,229,"Northen Victoria Land","Crater Circle",2010,"Granite",-72.60333,169.34883
"157","Mars-74",14070.5151515152,16.6363636363636,93,165,165,6,0,1,56,4,104,"Northen Victoria Land","Anderson Ridge",2010,"Granite",-74.714167,162.617778
"158","Mars-75b",11311.007518797,14.2255639097744,95,132,133,1,0,2,35,1,95,"Northen Victoria Land","Pudding Butte",2010,"Sandstone",-75.86667,159.98333
"159","Mars-76",10900.3716814159,13.6261061946903,245,445,452,12,0,6,114,3,329,"Northen Victoria Land","Pudding Butte",2010,"Sandstone",-75.86747,159.98272
"160","Mars-77",0,0,0,0,0,0,0,0,0,0,0,"Northen Victoria Land","Timber Peak",2010,"Sandstone",-74.17028,162.42553
"161","Mars-78",14726.5384615385,17.8205128205128,23,35,39,5,0,0,16,1,22,"Dry Valleys","Mt. Elektra",2018,"Sandstone",-77.491667,160.90672
"162","Mars-79",10840.6615566038,13.9941037735849,443,841,848,43,0,2,321,12,513,"Dry Valleys","Siegfried Peak",2015,"Sandstone",-77.578694,161.78658
