"","SampleID","contig_length_avg","gene_count_avg","num_VCs","num_vOTUs","num_seqs","provirus_num","Complete","High-quality","Low-quality","Medium-quality","AreaSample","Site.name...8","Year of collection","Rocks_v2","Latitude","Longitude"
"87","Mars-10",20115.9295774648,26.1267605633803,68,142,142,16,0,1,127,14,"Dry Valleys","Finger Mt.",2015,"Sandstone",-77.75025,160.74569
"88","Mars-11",21269.9545454545,26.9675324675325,80,152,154,19,0,0,136,18,"Dry Valleys","Finger Mt.",2015,"Sandstone",-77.75026,160.74589
"89","Mars-12",21766.1777777778,28.4,76,134,135,20,1,1,120,13,"Dry Valleys","Finger Mt.",2015,"Sandstone",-77.75027,160.74586
"90","Mars-13",22139.4635761589,27.7483443708609,74,151,151,26,1,4,128,18,"Dry Valleys","Finger Mt.",2015,"Sandstone",-77.75025,160.74553
"91","Mars-14",20562.578125,21.828125,28,60,64,7,0,1,57,6,"Dry Valleys","Finger Mt.",2015,"Sandstone",-77.75281,160.74444
"92","Mars-15",21173.8,26.84,52,99,100,17,1,1,89,9,"Dry Valleys","Finger Mt.",2015,"Sandstone",-77.75281,160.74586
"93","Mars-16",23288.8059701493,26.6865671641791,71,134,134,12,0,0,127,7,"Dry Valleys","Finger Mt.",2015,"Sandstone",-77.75281,160.74422
"94","Mars-17",20204.5843373494,26.5180722891566,85,162,166,19,1,3,144,18,"Dry Valleys","Finger Mt.",2015,"Sandstone",-77.75286,160.74453
"95","Mars-18",19994.1065573771,24.3688524590164,52,122,122,8,0,1,104,17,"Dry Valleys","Finger Mt.",2015,"Sandstone",-77.75278,160.74422
"96","Mars-19",20502.0943396226,24.6792452830189,23,47,53,4,0,1,51,1,"Northen Victoria Land","Schultz Peak",2015,"Sandstone",-76.01558,160.8934
"97","Mars-2",20887.8630136986,26.1780821917808,68,146,146,31,0,2,133,11,"Northen Victoria Land","Archambault Ridge",2010,"Granite",-74.74069,162.67567
"98","Mars-20",23435.1485148515,29.8910891089109,54,100,101,15,1,6,85,9,"Northen Victoria Land","Schultz Peak",2015,"Sandstone",-76.01558,160.8934
"99","Mars-23",22521.1641791045,27.5970149253731,58,132,134,29,0,6,110,18,"Northen Victoria Land","Helliwell Hills",2015,"Sandstone",-71.79353,161.995717
"100","Mars-24",18120.2882882883,22.5855855855856,53,105,111,18,0,7,100,4,"Northen Victoria Land","Helliwell Hills",2015,"Sandstone",-71.73167,161.375667
"101","Mars-25",22864.8450704225,29.5211267605634,41,71,71,13,0,0,65,6,"Northen Victoria Land","Helliwell Hills",2015,"Sandstone",-71.72968,161.3879
"102","Mars-26",22299.8666666667,28.6611111111111,85,179,180,37,0,2,163,15,"Northen Victoria Land","Helliwell Hills",2015,"Sandstone",-71.72968,161.3879
"103","Mars-27b",23928.4029850746,32.5522388059701,41,67,67,13,0,1,55,11,"Northen Victoria Land","Helliwell Hills",2015,"Sandstone",-71.72968,161.3879
"104","Mars-28",23914.396039604,31.3019801980198,99,202,202,44,1,3,166,32,"Northen Victoria Land","Mt. Keinath",2010,"Granite",-74.5505,164.06547
"105","Mars-29",23979.8676470588,28.2352941176471,42,68,68,18,0,4,59,5,"Northen Victoria Land","Mt. Dickason",2010,"Granite",-74.39958,164.00597
"106","Mars-3",21351.1666666667,26.0583333333333,58,120,120,22,0,2,108,10,"Northen Victoria Land","Archambault Ridge",2010,"Sandstone",-73.66942,162.59369
"107","Mars-30",22803.3363636364,29.4636363636364,62,110,110,17,3,4,94,9,"Northen Victoria Land","Mt. Dickason",2010,"Granite",-74.39958,164.00597
"108","Mars-31",21387.0574712644,26.1264367816092,46,87,87,9,0,1,79,7,"Northen Victoria Land","Mt. Burrow",2010,"Granite",-73.66667,163.66667
"109","Mars-33",22433.9132653061,28.5918367346939,77,196,196,39,2,2,177,15,"Northen Victoria Land","Random Hills",2010,"Granite",-74.01,164.36667
"110","Mars-34",23979.9375,30.7410714285714,60,112,112,22,2,2,97,11,"Northen Victoria Land","Random Hills",2010,"Granite",-74.01,164.36667
"111","Mars-35",27185.3378378378,27.1621621621622,27,74,74,13,0,0,67,7,"Northen Victoria Land","Mt. McGee",2010,"Granite",-75.666667,161.26667
"112","Mars-36",20145.6857142857,25.1857142857143,32,70,70,13,0,1,60,9,"Northen Victoria Land","Mt. McGee",2010,"Granite",-75.666667,161.26667
"113","Mars-37b",23901.3316062176,30.9740932642487,81,192,193,33,1,4,163,25,"Northen Victoria Land","Harrow Peak",2010,"Granite",-75.666667,161.26667
"114","Mars-38",24674.9792746114,30.699481865285,90,192,193,50,1,1,166,25,"Northen Victoria Land","Starr Nunatak",2004,"Granite",-75.89853,162.59289
"115","Mars-39",21297.3738317757,26.8878504672897,47,107,107,23,0,3,92,12,"Northen Victoria Land","Starr Nunatak",2004,"Granite",-75.89853,162.59289
"116","Mars-40",27528.3606557377,33.1475409836066,29,61,61,24,0,3,48,10,"Northen Victoria Land","Starr Nunatak",2004,"Granite",-75.89853,162.59289
"117","Mars-41",22732.303030303,28.8424242424242,82,165,165,29,0,2,142,21,"Northen Victoria Land","Starr Nunatak",2004,"Granite",-75.89853,162.59289
"118","Mars-42",24366.8032786885,29.8032786885246,60,121,122,34,0,1,101,20,"Northen Victoria Land","Starr Nunatak",2004,"Granite",-75.89853,162.59289
"119","Mars-43",25191.4563106796,30.7572815533981,44,102,103,23,2,3,86,12,"Northen Victoria Land","Kay Island",2010,"Quartz",-74.07042,165.31667
"120","Mars-44",19439.2213114754,25.9344262295082,63,122,122,25,0,0,111,11,"Northen Victoria Land","Kay Island",2010,"Quartz",-74.07039,165.31614
"121","Mars-45",25687.547826087,32.6434782608696,78,230,230,56,3,7,201,19,"Northen Victoria Land","Kay Island",2010,"Quartz",-74.0705,165.316
"122","Mars-46",24472.7978142076,30.3661202185792,79,183,183,42,2,2,157,22,"Northen Victoria Land","Inexpressible Island",2010,"Sandstone",-74.88931,163.7455
"123","Mars-47",21675.75,29.4705882352941,30,68,68,5,0,1,56,11,"Northen Victoria Land","Inexpressible Island",2010,"Granite",-74.88931,163.7455
"124","Mars-48",24661.010989011,31.0659340659341,45,89,91,17,0,2,75,14,"Northen Victoria Land","Inexpressible Island",2010,"Granite",-74.88931,163.7455
"125","Mars-49",22150.371257485,28.9760479041916,89,165,167,32,1,1,145,20,"Northen Victoria Land","Inexpressible Island",2010,"Granite",-74.88931,163.7455
"126","Mars-4b",20284.8636363636,22.5909090909091,8,22,22,1,0,8,14,0,"Northen Victoria Land","Finger Mt.",2010,"Sandstone",-75.69142,160.43256
"127","Mars-50b",22510.8636363636,29.5,6,22,22,3,0,1,19,2,"Northen Victoria Land","Inexpressible Island",2010,"Granite",-74.88931,163.7455
"128","Mars-51b",22220.0517241379,26.9655172413793,30,58,58,14,0,2,47,9,"Northen Victoria Land","Inexpressible Island",2010,"Granite",-74.88931,163.7455
"129","Mars-52",22057.2121212121,29.6818181818182,27,66,66,7,0,5,54,7,"Northen Victoria Land","Mt. Larsen",2010,"Granite",-74.88439,162.16611
"130","Mars-53",18833.98,26.88,43,100,100,7,1,2,91,6,"Northen Victoria Land","Mt. Larsen",2010,"Granite",-74.88439,162.16611
"131","Mars-54",21012.3553719008,26.5123966942149,61,121,121,25,0,3,109,9,"Northen Victoria Land","Mt. Nansen",2010,"Granite",-74.53639,162.56528
